PRICE_NG_SPEC,PRICE_eMET_SPEC,PRICE_H2_SPEC,PRICE_NH3_SPEC,CC_VRE_VRE1,CC_VRE_VRE3,CC_ES_ES1,cluster,Fitness
50.0,227.0,57.0,26.0,115000.0,355100.0,21710.0,0,11518623.03484853
64.0,273.0,20.0,130.0,115000.0,355100.0,21710.0,0,10258279.567499967
73.0,227.0,20.0,26.0,115000.0,203100.0,42380.0,0,11749049.971651888
50.0,136.0,20.0,130.0,115000.0,203100.0,10010.0,4,7933639.716277777
73.0,136.0,132.0,130.0,115000.0,203100.0,42380.0,4,10873189.75865614
64.0,227.0,95.0,26.0,203000.0,507000.0,10010.0,0,11762462.391557189
64.0,136.0,20.0,78.0,142500.0,203100.0,21710.0,1,9328859.521964535
64.0,227.0,170.0,78.0,203000.0,203100.0,10010.0,0,11908281.575131562
50.0,136.0,170.0,26.0,142500.0,203100.0,10010.0,0,10780684.805962067
73.0,182.0,95.0,78.0,115000.0,203100.0,10010.0,0,11913219.7965224
50.0,227.0,57.0,78.0,115000.0,203100.0,10010.0,2,11759497.381727548
64.0,273.0,20.0,130.0,115000.0,203100.0,21710.0,2,9679428.760470584
64.0,227.0,20.0,78.0,115000.0,507000.0,21710.0,0,10916733.19066524
73.0,136.0,132.0,26.0,115000.0,355100.0,42380.0,4,11881530.940066457
73.0,182.0,20.0,26.0,115000.0,355100.0,10010.0,0,10170821.2345954
73.0,136.0,20.0,78.0,115000.0,203100.0,10010.0,1,8626650.375930868
73.0,318.0,20.0,130.0,115000.0,355100.0,21710.0,1,11958121.24506649
50.0,318.0,95.0,26.0,142500.0,203100.0,42380.0,2,10616022.832756557
73.0,273.0,20.0,78.0,115000.0,355100.0,10010.0,2,11815702.841040576
73.0,182.0,20.0,130.0,115000.0,507000.0,10010.0,0,9486856.74757921
73.0,318.0,20.0,26.0,203000.0,203100.0,10010.0,2,9773194.039220955
73.0,182.0,132.0,26.0,142500.0,203100.0,42380.0,0,11215453.920492232
50.0,136.0,57.0,26.0,115000.0,355100.0,10010.0,0,11265202.33246307
50.0,136.0,20.0,130.0,142500.0,355100.0,10010.0,2,10326024.935124183
50.0,136.0,20.0,78.0,115000.0,203100.0,21710.0,4,9204087.598189613
50.0,182.0,95.0,78.0,203000.0,203100.0,10010.0,2,10519624.275529187
64.0,227.0,20.0,26.0,203000.0,355100.0,10010.0,2,11494393.590987366
73.0,182.0,20.0,26.0,115000.0,203100.0,21710.0,0,11743111.299846968
64.0,227.0,20.0,130.0,203000.0,355100.0,10010.0,2,11424811.621698044
64.0,182.0,95.0,26.0,142500.0,203100.0,10010.0,2,10511896.654834548
64.0,136.0,95.0,130.0,115000.0,203100.0,21710.0,2,9855773.201789455
64.0,273.0,20.0,130.0,142500.0,355100.0,10010.0,1,10936090.7019242
64.0,318.0,20.0,78.0,203000.0,203100.0,42380.0,1,10881950.74001614
50.0,136.0,132.0,26.0,142500.0,203100.0,42380.0,2,10773601.349582585
64.0,273.0,20.0,78.0,115000.0,355100.0,21710.0,0,9717406.176843762
64.0,227.0,170.0,130.0,142500.0,203100.0,21710.0,1,11229286.4058531
50.0,227.0,57.0,26.0,115000.0,355100.0,21710.0,0,11942906.945922395
64.0,182.0,20.0,26.0,142500.0,355100.0,21710.0,1,10750238.289825177
50.0,182.0,95.0,26.0,142500.0,355100.0,10010.0,0,11647681.415642343
73.0,136.0,20.0,26.0,115000.0,355100.0,21710.0,2,11325607.731203122
64.0,227.0,170.0,78.0,203000.0,203100.0,10010.0,0,11825600.699482424
64.0,273.0,20.0,130.0,142500.0,203100.0,21710.0,0,10820717.645253835
64.0,136.0,20.0,130.0,115000.0,355100.0,21710.0,1,11047743.707391152
64.0,273.0,20.0,130.0,115000.0,355100.0,21710.0,0,11095881.930716729
64.0,318.0,20.0,78.0,115000.0,355100.0,21710.0,0,10279859.878303068
64.0,318.0,57.0,26.0,115000.0,203100.0,10010.0,0,10944474.25034082
50.0,136.0,95.0,78.0,115000.0,203100.0,42380.0,4,11272924.11157483
64.0,227.0,170.0,78.0,115000.0,203100.0,10010.0,0,10998341.822679268
73.0,182.0,20.0,130.0,115000.0,355100.0,10010.0,0,9723373.889860451
64.0,136.0,170.0,26.0,115000.0,355100.0,42380.0,4,11769716.326865464
73.0,273.0,20.0,78.0,115000.0,355100.0,10010.0,2,11815702.82810727
64.0,273.0,132.0,78.0,115000.0,203100.0,10010.0,2,11543028.433811162
